body_part;exercise_name;preparation;execution
Neck;Weighted Lateral Neck Flexion;Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support.;Move head up to side by laterally flexing neck. Lower head to opposite side and repeat. Lie on other side and continue.
Neck;Front Neck Bridge;Kneel on all fours on well cushioned mat. Place head on mat between hands. Rise and straighten knees. Fold hands behind low back or hips.;Roll back onto forehead until nose touches mat. Roll forward onto top of head until chin touches upper chest. Repeat.
Neck;Wall Front Neck Bridge;Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.;Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.
Neck;Wall Side Neck Bridge;Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips.;Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.
Neck;Neck Retraction Stretch;Stand or sit.;Pull head back as far possible while looking slightly down and hold stretch.
Neck;Neck Rotation Stretch;Stand or sit.;Turn head over shoulder to one side. Hold stretch. Repeat to other side.
Neck;Suspended Neck Flexion;Place belt or strap around end of suspension trainer. Face away from suspension trainer with belt in hand. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to back of mid-head. Step forward until suspension trainer is taut. Lean forward at angle against support of belt and suspension trainer by stepping back slightly while keeping head and body straight.;Increase angle of body by bowing head until chin touches upper chest. Lower angle of body by raising head. Repeat.
Neck;Suspended Lateral Neck Flexion;Place belt or strap around end of suspension trainer. Hold belt in hand and stand away from suspension trainer so it hangs to one side. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to head above ear closest to suspension trainer. Step further away from suspension trainer until it is taut. Lean away at angle against support of belt and suspension trainer by positioning feet closer to side of suspension trainer while keeping head and body straight.;Lower angle of body by tilting head to side of suspension trainer. Increase angle of body by tilting head away from side of suspension trainer. Repeat and continue in opposite position.
Neck;Cable Neck Extension;Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.;Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.
Neck;Cable Neck Extension (with belt);Sit on bench facing low pulley. Attach belt on low pulley cable by attaching carabiner on belt buckle. Place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to forehead. Place other hand or forearm on lower thighs for support.;Pull head up and back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.
Neck;Lever Neck Extension (plate loaded);Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.;Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.
Neck;Lever Neck Extension;Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.;Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.
Neck;Weighted Lying Neck Extension;Lie prone on bench with head extended off of end and folded towel and weight plate(s) on floor. With both hands, place plate(s) on back of head with towel placed in between for comfort.;Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.
Neck;Weighted Neck Extension;Kneel on side of bench with weight plates on end of bench. With both hands, hold weight plate(s) cushioned with towel. Position upper body prone and perpendicular on bench with head and arms extending off of side. With both hands, place weight plate(s) on back of head with towel placed in between for comfort.;Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.
Neck;Weighted Seated Neck Extension;Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort.;Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.
Neck;Weighted Neck Harness Extension;Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.;Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.
Neck;Rear Neck Bridge;Lying supine on well cushioned mat. Position feet very close to hips. Raise buttocks and low back slightly off of floor and fold hands on abdomen.;Extend hips and knees while pushing head back into floor. Roll back on head while arching spine high off of floor. Hyperextend neck back in attempt to bring forehead toward mat. Return body to close to mat until back of head and shoulders make contact with mat. Repeat.
Neck;Wall Rear Neck Bridge;undefined;undefined
Neck;Neck Extensor Stretch;Bow head forward with jaw shut. Depress chin into top of sternum.;Slightly turn head to one side. Hold stretch. Repeat to other side.
Neck;Suspended Neck Extension;undefined;undefined
Shoulders;Barbell Behind Neck Press;Grasp barbell with overhand grip from rack or clean from floor. Position bar behind neck.;Press bar upward until arms are extended overhead. Return behind neck and repeat.
Shoulders;Barbell Front Raise;Grasp barbell with overhand grip with elbows straight or slightly bent.;Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.
Shoulders;Barbell Incline Front Raise;Grasp barbell with shoulder width overhand grip. Lie supine on upper portion of 45 degree incline bench with legs straight. Position barbell on top of upper thighs.;With elbows straight or slightly bent, raise barbell up and over shoulders until uppers arm are vertical. Lower barbell to upper thigh and repeat.
Shoulders;Barbell Military Press;Grasp barbell from rack or clean barbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck.;Press bar upward until arms are extended overhead. Lower to front of neck and repeat.
Shoulders;Barbell Seated Military Press;Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.;Press bar upward until arms are extended overhead. Return to upper chest and repeat.
Shoulders;Barbell Shoulder Press;Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.;Press bar upward until arms are extended overhead. Return to upper chest and repeat.
Shoulders;Cable Bar Behind Neck Press;Stand facing cable bar, mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with wide overhand grip upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back. Push cable bar over head and position cable bar behind neck or rest on shoulders.;Press cable bar upward until arms are extended overhead. Return behind neck and repeat.
Shoulders;Cable Bar Military Press;Stand facing cable bar, mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with overhand grip, slightly wider than shoulder width. Position cable bar upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back.;Press cable bar upward until arms are extended overhead. Return to upper chest and repeat.
Shoulders;Cable Bar Shoulder Press;Stand facing cable bar mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with wide overhand grip and position upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back.;Press cable bar upward until arms are extended overhead. Return to upper chest and repeat.
Shoulders;Cable Seated Front Raise;Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.;Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.
Shoulders;Cable Alternating Front Raise;Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent.;Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.
Shoulders;Cable Alternating Seated Front Raise;Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.;Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm. Continue by alternating raises between sides.
Shoulders;Cable One Arm Front Raise;Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.;Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.
Shoulders;Cable One Arm Front Raise (with rope);Grasp end of Triceps Rope Cable attachment with one hand so that protruding end is in contact with side of hand (thumb and index finger). Stand away from pulley with arm back at side and elbow straight.;Raise stirrup forward and upward until arm is well above horizontal or cable makes contact with underside of upper arm. Lower and repeat. Repeat with opposite arm.
Shoulders;Cable Standing Shoulder Press;Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.;Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.
Shoulders;Cable Shoulder Press;Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.;Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.
Shoulders;Cable Twisting Overhead Press;Stand beside low to medium height pulley. Grasp cable stirrup. Position stirrup to front of shoulder with elbow down to side. Place opposite hand on hip. With feet wide apart, squat down slightly.;Rotate body away from pulley and straighten legs while pushing stirrup diagonally upward toward opposite side of body. Return to original position and repeat.
Shoulders;Dumbbell Arnold Press;Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists.;Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.
Shoulders;Dumbbell Front Raise;Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.;Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.
Shoulders;Dumbbell Alternating Front Raise;Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.;Raise one dumbbell forward and upward with until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.
Shoulders;Dumbbell Alternating Incline Front Raise;Grasp dumbbells and lie supine on upper portion of 45 degree incline bench with legs straight. Position dumbbells downward below each shoulder.;With elbows straight or slightly bent, raise one dumbbell forward, up and over shoulder until upper arm is vertical. Lower dumbbell down to starting position. Repeat raise with other arm, alternating between sides.
Shoulders;Dumbbell Shoulder Press;Position dumbbells to each side of shoulders with elbows below wrists.;Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.
Shoulders;Dumbbell One Arm Shoulder Press;Stand with dumbbells positioned near shoulder with elbow below wrists.;Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat.
Shoulders;Lever Behind Neck Press (plate loaded);Sit back on seat. Grasp lever bars to each side with overhand grip.;Press levers upward until arms are extended overhead. Lower and repeat.
Shoulders;Lever Barbell Behind Neck Press (plate loaded);Sit on bench with bar positioned behind shoulders, also facing away from fulcrum. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.;Press bar upward until arms are extended overhead. Lower bar behind neck and repeat.
Shoulders;Lever Military Press (plate loaded);Set and grasp lever handles to each side with overhand grip.;Press lever until arms are extended upward. Lower and repeat.
Shoulders;Lever Reclined Shoulder Press (plate loaded);Lie on back pad facing up. Grasp lever handles on each side with overhand grip.;Press lever until arms are extended. Lower and repeat.
Shoulders;Lever Shoulder Press (plate loaded);Set and grasp lever handles to each side with overhand grip.;Press lever upward until arms are extended overhead. Lower and repeat.
Shoulders;Lever Barbell Shoulder Press (plate loaded);Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.;Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.
Shoulders;Lever One Arm Shoulder Press (plate loaded);Stand to one side, near loaded end of barbell, opposite of landmine lever. Lift end of barbell and position near shoulder with underhand grip. Stand with feet far apart (leg on same side of loaded arm is back and opposite leg is forward and bent).;Press end of barbell upward and forward until arm is extended. Lower to shoulder and repeat. Repeat with opposite side.
Shoulders;Lever One Arm Front Raise;Stand with lever to side, fulcrum approximately shoulder height and handle just below hip. Grasp lever handle with elbow straight or slightly bent.;Raise lever handle forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.
Shoulders;Lever Reclined Shoulder Press;Lie on back pad facing up. Grasp lever handles to each side with overhand grip.;Press lever until arms are extended. Lower and repeat.
Shoulders;Lever Reclined Parallel Grip Shoulder Press;Lie on back pad facing up. Grasp parallel lever handles on each side.;Press lever until arms are extended. Lower and repeat.
Shoulders;Lever Shoulder Press;Set and grasp lever handles to each side with overhand grip.;Press lever upward until arms are extended overhead. Lower and repeat.
Shoulders;Lever Shoulder Press (parallel grip);undefined;undefined
Shoulders;Lever Alternating Shoulder Press;Set and grasp lever handles to each side with overhand grip.;Press one lever upward until arm is extended overhead. Lower to original position. Repeat with opposite arm. Continue by alternating movement between arms.
Shoulders;Sled Shoulder Press;Set and grasp lever handles to each side with overhand grip.;Press handles upward until arms are extended overhead. Lower and repeat.
Shoulders;Sled Shoulder Press (parallel grip);Sit on seat and grasp parallel bar grips to front of shoulders on each side.;Press handles upward until arms are extended overhead. Lower and repeat.
Shoulders;Smith Behind Neck Press;Sit on bench with bar positioned behind shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.;Press bar upward until arms are extended overhead. Lower bar behind neck and repeat.
Shoulders;Smith Shoulder Press;Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.;Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.
Shoulders;Handstand Push-up (between benches);Stand facing wall between two benches positioned side by side, slightly apart, and slightly away and perpendicular to wall. Place hands on ends of benches closest to wall. Place forefeet on bench and kick lower body up to handstand position with arms and legs straight. Maintain balance with lower body against wall.;Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.
Shoulders;Pike Press;Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight.;Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.
Shoulders;Decline Pike Press;Stand between two incline benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches and straighten arms. Position forefeet on opposite ends of bench. Raise rear end high up with arms, back, and knees straight.;Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.
Shoulders;Suspended Front Raise;Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward.;Raise arms upward over head by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat.
Shoulders;Doorway Front Deltoid Stretch;Stand at end of wall or in doorway facing perpendicular to wall. Position palm on surface of wall slightly lower than shoulder. Bend elbow slightly.;Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.
Shoulders;Lying Front Deltoid Stretch;Lie prone on mat and extend both arms out to sides. Position right arm slightly lower than shoulder. Also bend left knee.;Roll body onto right side by pushing left hand onto floor. Positioning bent left leg over straight right leg until stretch is felt. Hold stretch. Repeat in opposite position.
Shoulders;Seated Front Deltoid Stretch;Sit on floor or mat. Lean back and place hands flat on floor behind body slightly wider than shoulder width with fingers positioned away from body.;Scoot hips forward away from hands. Hold stretch.
Shoulders;PNF Seated Front Deltoid Stretch;Instruct participant to sit on floor or bench and place arms to behind hips. From behind, grasp participant's wrists, positioning them wider than shoulder width.;Continue to raise participant's arms upward behind their body, out to sides. Hold stretch.
Shoulders;Wall Front Deltoid Stretch;Face away from wall. Bend over and place hands slightly wider than shoulder width as high as possible on wall with fingers positioned upward.;Bring rear end and back toward wall and squat down. Hold stretch for 20 seconds.
Shoulders;Barbell Wide Grip Upright Row;Grasp bar with wide overhand grip.;Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.
Shoulders;Cable Lateral Raise;With low pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Stand upright.;With elbows slightly bent, raise arms to sides until elbows are shoulder height. Lower and repeat.
Shoulders;Cable One Arm Lateral Raise;Grasp stirrup cable attachment. Stand facing with side of resting arm toward low pulley. Grasp ballet bar if available.;With elbow slightly bent, raise arm to side away from low pulley until elbow is shoulder height. Lower and repeat.
Shoulders;Cable Lateral Raise (pulleys close);Stand facing two low pulleys positioned side by side. Grasp stirrups with each hand. Stand upright with arms staight down to each side.;With elbows slightly bent, raise arms to side until elbows are shoulder height. Lower and repeat.
Shoulders;Cable Seated Lateral Raise;Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms nearly straight down to each side.;With elbows slightly bent, raise arms to side until elbows are shoulder height. Lower and repeat.
Shoulders;Cable Upright Row;Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to pulley.;Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.
Shoulders;Cable Bar Upright Row;Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to cable bar.;Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.
Shoulders;Cable One Arm Upright Row;Grasp stirrup on low pulley with overhand grip. Stand with side of arm with stirup away from pulley machine, arm against front of body. Place other hand on ballet bar or side of pulley column for support.;Pull stirup to front side of shoulder with elbow leading. Allow wrist to flex as stirrup is lifted. Lower and repeat.
Shoulders;Cable Upright Row (with rope attachment);Grasp each side of rope with overhand grip, just under rope ends. Stand close to pulley.;Pull rope ends to front of shoulders with elbows leading. Allow wrists to flex as stirrups are lifted. Lower and repeat.
Shoulders;Cable Wide Grip Upright Row;Grasp cable bar with wide overhand grip. Stand close to pulley.;Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.
Shoulders;Cable Y Raise;Stand facing between low pulleys medium width apart, grasp left stirrup with right hand and right stirrup with left hand. Step back slightly away from pulleys and stand upright with cables crossed in front of hips.;With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.
Shoulders;Cable Seated Y Raise;On dual pulley seated row machine, sit slightly forward on seat or bench in order to grasp both cable attachments. Place feet on vertical platform. Position torso upright and slide hips back so knees are slightly bent.;Raise arms upward and outward to sides in Y configuration while allowing elbows to partially bend. Pull back until elbows are approximately lateral to each ear. Lower stirrups forward and downward until arms are extended straight in front of body. Repeat.
Shoulders;Cable Seated Y Raise (with rope attachment);Sit slightly forward on seat or bench and grasp ends of rope attachment with hand. Place feet on vertical platform. Slide hips back so knees are slightly bent.;With torso upright pull rope upward over head until elbows are approximately lateral to each ear. Lower stirrups forward and downward until arms are extended straight in front of body. Repeat.
Shoulders;Dumbbell Incline Lateral Raise;Grasp dumbbell in one hand. Lie on 30° to 45° incline bench with opposite side of body on incline, arm over top of bench, lower leg positioned on front side of seat, and upper leg on back side of seat. Position dumbbell inside of lower leg, just in front of upper leg.;Raise dumbbell from until upper arm is perpendicular to torso. Maintain slight fixed bend in elbow throughout exercise. Lower dumbbell to front of upper leg and repeat.
Shoulders;Dumbbell Lateral Raise;Grasp dumbbells in front of thighs with elbows slightly bent. Bend over slightly with hips and knees bent slightly.;Raise upper arms to sides until elbows are shoulder height. Maintain elbows' height above or equal to wrists. Lower and repeat.
Shoulders;Dumbbell One Arm Lateral Raise;Position dumbbell in front of pelvis with elbow slightly bent. Grasp stationary object with other hand for support. Bend over with hips and knees bent slightly.;Raise upper arm to side until elbow is shoulder height. Maintain elbow's height above or equal to wrist. Lower and repeat. Continue with opposite arm.
Shoulders;Dumbbell One Arm Seated Lateral Raise;Sit on stool or end of bench with legs together. Position dumbbell to side with elbow slightly bent. Angle torso slightly forward and place free hand on end of thigh for support.;Raise upper arm to side until elbow is shoulder height. Maintain elbow's height above or equal to wrist. Lower and repeat. Continue with opposite arm.
Shoulders;Dumbbell Lying Lateral Raise;Lie on side with legs separated for support. Grasp dumbbell in front of thigh.;Raise dumbbell from floor until arm is vertical. Maintain fixed elbow position (10° to 30° angle) throughout exercise. Lower and repeat.
Shoulders;Dumbbell Raise;Stand and grasp dumbbells with arms to side, palms facing sides of thighs.;Pull dumbbells up to sides of ribs with elbows out to sides. Lower and repeat.
Shoulders;Dumbbell Upright Row;Grasp dumbbells and stand with palms facing front of thighs.;Pull dumbbells to front of shoulder with elbows leading out to sides. Allow wrists to flex as dumbbells rise upward. Lower and repeat.
Shoulders;Dumbbell One Arm Upright Row;Grasp dumbbells with palms facing front of thighs. Position other hand for support.;Pull dumbbell to front of shoulder with elbow leading. Allow wrist to flex as dumbbell rises upward. Lower and repeat. Continue with opposite arm.
Shoulders;Dumbbell Seated Upright Row;Sit on end of bench with legs far apart. Grasp dumbbell between legs with arm vertical under shoulder. Position torso slightly forward with hand on knee for support.;Pull dumbbell to front of shoulder with elbow leading out to side. Allow wrists to flex as dumbbell rises upward. Lower and repeat.
Shoulders;Lever Barbell Upright Row (plate loaded);Stand behind bar mid-thigh height, facing away from from fulcrum. Grasp bar with shoulder width or slightly narrower overhand grip. Disengage bar by rotating bar back and stand upright.;Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.
Shoulders;Lever Lateral Raise (plate loaded);Sit in machine. Situate bent arms between padded lever and sides of body.;Raise arms to sides until upper arms are horizontal. Return and repeat.
Shoulders;Lever Lateral Raise;Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.;Raise arms to sides until upper arms are horizontal. Return and repeat.
Shoulders;Lever Extended Arm Lateral Raise;Stand facing machine and grasp lever handles to each side with elbows straight or slightly bent.;Raise lever handles to sides until elbows are shoulder height. Maintain elbows' height above or equal to wrists. Lower and repeat.
Shoulders;Lever Extended Arm Kneeling Lateral Raise;Kneel on shin pads facing machine and grasp lever handles to each side with elbows straight or slightly bent.;Raise lever handles to sides until elbows are shoulder height. Maintain elbows' height above or equal to wrists. Lower and repeat.
Shoulders;Lever Lateral Raise;Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.;Raise arms to sides until upper arms are horizontal. Return and repeat.
Shoulders;Smith Wide Grip Upright Row;Stand behind bar mid-thigh height. Grasp bar with wide grip overhand grip. Disengage bar by rotating bar back and stand upright.;Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.
Shoulders;Fixed Bar Side Deltoid Stretch;Face stationary bar. Grasp stationary bar with one hand approximately chest height. Rotate body so upper arm is positioned across chest.;Turn body into upper arm. Hold stretch. Repeat with opposite arm.
Shoulders;Side Deltoid Stretch;Position arm across chest. Place opposite hand on elbow.;Push elbow toward chest. Hold stretch. Repeat with opposite arm.
Shoulders;Suspended Y Lateral Raise;Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle hanging from handles with arms straight and palms angled inward.;Raise arms upward and outward in shape of a Y while keeping arms straight. Return and lower body back in opposite motion until arms are extended straight forward in original position. Repeat.
Shoulders;Barbell Rear Delt Raise;Stand holding barbell behind thighs or hips with arms straight down to sides.;Pull barbell behind hips and low back up as far as possible allowing elbows to travel up behind body to each side. Flex wrists near top of movement so bar can be raised higher. Lower until arms and wrists are straight. Repeat.
Shoulders;Barbell Rear Delt Row;Bend knees slightly and bend over bar with back straight, approximately horizontal. Grasp bar with wide overhand grip.;Keeping upper arm perpendicular to torso, pull barbell up toward upper chest until upper arms are just beyond horizontal. Return and repeat.
Shoulders;Barbell Lying Rear Delt Row;Lie chest down on elevated bench. Grasp bar with wide overhand grip.;Keeping upper arm perpendicular to torso, pull barbell up toward upper chest until upper arms are just beyond parallel to floor. Return and repeat.
Shoulders;Cable Reverse Fly;Stand facing twin pulley cables positioned close together and approximately shoulder height. Grasp stirrup cable attachment in each hand. Step back away from machine so cable is taut. Stand with feet staggered. Point elbows outward with arms straight or slightly bent.;Pull stirrups out to sides, maintaining stiff elbow position throughout exercise. Return to original position and repeat.
Shoulders;Cable Seated Reverse Fly;Sit on seat facing twin pulley cables positioned approximately shoulder height. Grasp stirrup cable attachment in each hand. Straighten lower back upright so cable is taut. Point elbows outward with arms slightly bent.;Keeping elbows pointed high, pull stirrups out to sides, maintaining slightly bent elbow position throughout exercise. Return to original position and repeat.
Shoulders;Cable One Arm Reverse Fly;Stand with side to shoulder height cable pulley. Grasp stirrup cable attachment with hand furthest from pulley. Position arm across neck with elbow bent 30° to 45° outward.;Keeping elbows pointed high, pull stirrup out to side, maintaining fixed elbow position throughout exercise. Return to original position and repeat. Repeat with other arm.
Shoulders;Cable Supine Reverse Fly;With bench between two high pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Lie on bench with pulleys to each side of shoulders. Arms should be crossed above upper chest with elbows slightly bent.;Pull upper arms down to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and fixed elbow position (just slightly bent) as arms are pulled down to sides. Return arms to original position and repeat.
Shoulders;Cable Rear Delt Row;Sit slightly forward on bench or platform in order to grasp cable bar attachment. With elbow width overhand grip, straighten torso upright and slide hips back until knees are only slightly bent.;Pull cable attachment toward upper chest, just below neck, with elbows up out to sides until elbows travel slightly behind back. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.
Shoulders;Cable Standing Rear Delt Row (with rope);Stand facing rope attachment on high pulley cable. Grasp each end of rope just above enlarged ends. Step back with one foot so arms and shoulders are positioned straight forward with cable taut. Point elbows outward.;Pull rope to upper chest or neck, keeping elbows at shoulder height until elbows travel slightly behind back. Keep upper arms perpendicular to trunk. Return until arms are extended forward. Repeat.
